datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,conditions
2020-02-23,25.5,15.5,20.4,25.5,15.5,20.4,16.1,78.5,0.0,0.0,noprecip,28.1,13.0,125.9,1022.6,36.2,6.1,198.4,17.1,0.0,Partially cloudy
2020-02-24,26.1,17.5,21.8,26.1,17.5,21.8,17.1,77.0,0.0,0.0,noprecip,31.7,18.6,121.8,1018.3,36.4,7.6,162.8,14.0,0.02,Partially cloudy
2020-02-25,26.0,18.5,22.0,26.0,18.5,22.0,18.2,80.7,0.0,0.0,noprecip,29.2,14.8,119.7,1016.5,55.9,7.4,133.3,11.5,0.05,Partially cloudy
2020-02-26,27.0,18.5,22.4,28.0,18.5,22.5,18.2,78.6,0.1,4.17,rain,22.0,14.8,108.5,1016.9,49.1,7.0,126.4,10.9,0.08,"Rain, Partially cloudy"
2020-02-27,28.0,20.0,23.9,29.0,20.0,24.1,18.2,71.5,0.6,12.5,rain,25.9,16.6,124.8,1016.8,55.9,9.5,137.2,11.8,0.12,"Rain, Partially cloudy"
2020-02-28,27.0,21.0,23.8,28.2,21.0,23.9,18.8,74.2,0.099,4.17,rain,32.0,17.5,131.6,1015.2,53.7,9.5,136.0,11.8,0.15,"Rain, Partially cloudy"
2020-02-29,27.1,21.0,23.7,28.2,21.0,23.9,19.4,77.9,1.0,25.0,rain,26.6,16.6,127.2,1012.9,57.7,8.7,108.2,9.3,0.18,"Rain, Partially cloudy"
2020-03-01,27.2,22.0,24.0,29.1,22.0,24.2,20.6,81.9,0.3,12.5,rain,28.1,20.4,116.6,1012.6,73.6,8.0,120.8,10.5,0.22,"Rain, Partially cloudy"
2020-03-02,25.5,21.8,23.5,25.5,21.8,23.5,20.5,83.6,0.198,4.17,rain,37.4,20.6,125.8,1013.2,81.1,9.3,105.8,9.1,0.25,"Rain, Partially cloudy"
2020-03-03,26.3,20.5,22.6,26.3,20.5,22.6,20.6,89.1,98.181,16.67,rain,34.6,21.3,113.0,1013.5,73.2,8.1,64.8,5.6,0.25,"Rain, Partially cloudy"
