datetime,target_temp,target_conditions,temp_lag_12AM,feelslike_lag_12AM,humidity_lag_12AM,dew_lag_12AM,precip_lag_12AM,snow_lag_12AM,preciptype_lag_12AM,windgust_lag_12AM,windspeed_lag_12AM,pressure_lag_12AM,visibility_lag_12AM,cloudcover_lag_12AM,conditions_lag_12AM,winddir_sin_lag_12AM,winddir_cos_lag_12AM,tempmax_lag,tempmin_lag,temp_lag,feelslikemax_lag,feelslikemin_lag,feelslike_lag,dew_lag,humidity_lag,precip_lag,precipcover_lag,preciptype_lag,windgust_lag,windspeed_lag,sealevelpressure_lag,cloudcover_lag,visibility_lag,solarradiation_lag,solarenergy_lag,conditions_lag,winddir_sin_lag,winddir_cos_lag,rolling_precip_3day,day_of_year_sin,day_of_year_cos,winddir_diff_2h,winddir_diff_day,cloud_cover_trend_2h,diurnal_temp_range,dewpoint_depression,humidity_momentum,pressure_trend_overnight
2020-02-02,17.7,Rain,16.0,16.0,87.9,14.0,0.0,0.0,noprecip,0.0,3.6,1019.0,4.0,89.0,Cloudy,-0.8660254037844386,0.5000000000000001,16.9,14.9,16.0,16.9,14.9,16.0,13.1,82.7,0.099,4.17,rain,14.4,9.4,1018.9,82.5,6.3,43.5,3.6,Rain,0.3007057995042731,0.9537169507482269,0.099,0.5376773767406141,0.8431506618282,60.0,77.5,-8.799999999999997,1.9999999999999982,2.0,0.4000000000000057,-0.5
2020-02-03,17.6,Rain,18.0,18.0,93.9,17.0,0.0,0.0,noprecip,0.0,2.7,1018.0,3.0,69.9,Cloudy,0.9055687990111397,-0.42419942274538996,20.0,16.0,17.7,20.0,16.0,17.7,15.6,87.9,0.1,4.17,rain,20.9,7.6,1018.4,84.1,3.3,79.0,6.8,Rain,0.37622426313936563,0.9265286308718373,0.199,0.5521013427459208,0.8337770129585915,115.10000000000002,93.0,-25.0,4.0,1.0,0.30000000000001137,-1.0
2020-02-04,14.1,Rain,14.5,14.5,87.8,12.5,0.0,0.0,noprecip,0.0,16.6,1018.0,10.0,57.3,Cloudy,0.573576436351046,0.8191520442889918,20.3,15.0,17.6,20.3,15.0,17.6,16.4,92.9,0.793,8.33,rain,40.3,24.1,1017.2,78.9,4.9,47.2,4.1,Rain,0.4083304603813849,0.9128341772330428,0.992,0.5663619330814524,0.8241566360566663,29.0,10.900000000000006,-34.0,5.300000000000001,2.0,-3.299999999999997,-1.2000000000000455
2020-02-05,14.3,Rain,14.0,14.0,93.7,13.0,0.0,0.0,noprecip,0.0,11.2,1020.0,8.5,89.0,Cloudy,0.573576436351046,0.8191520442889918,14.5,13.5,14.1,14.5,13.5,14.1,12.6,90.9,4.252,12.5,rain,21.6,17.5,1019.2,70.5,8.7,26.8,2.2,Rain,0.3222656952305111,0.9466492601156964,5.145,0.580454927809098,0.8142923779467267,10.0,16.19999999999999,19.099999999999994,1.0,1.0,3.0,0.0
2020-02-06,16.9,Rain,15.0,15.0,93.7,14.0,0.0,0.0,noprecip,0.0,5.4,1017.0,4.5,69.9,Cloudy,0.8191520442889918,0.5735764363510462,15.0,14.0,14.3,15.0,14.0,14.3,13.2,93.1,1.592,8.33,rain,15.5,11.2,1018.2,77.7,7.4,32.8,2.9,Rain,0.6142852000989432,0.7890840848346907,6.6370000000000005,0.5943761565849831,0.804187157621448,5.0,17.099999999999994,-21.39999999999999,1.0,1.0,-0.5,-0.39999999999997726
2020-02-07,18.7,Rain,18.0,18.0,90.9,16.5,0.0,0.0,noprecip,0.0,4.5,1017.0,6.5,69.9,Cloudy,-0.8660254037844386,0.5000000000000001,19.5,15.0,16.9,19.5,15.0,16.9,15.4,90.9,0.099,4.17,rain,19.4,10.0,1016.2,80.3,4.8,81.8,7.1,Rain,-0.7144726796328037,0.6996633405133651,5.943,0.6081214998935418,0.7938439653781019,0.0,14.399999999999977,-27.89999999999999,4.5,1.5,-1.0999999999999943,-0.10000000000002274
2020-02-08,17.6,Rain,19.0,19.0,82.8,16.0,0.0,0.0,noprecip,0.0,12.1,1020.0,10.0,89.0,Cloudy,0.9063077870366499,0.42261826174069944,20.0,17.0,18.7,20.0,17.0,18.7,17.4,92.4,0.696,8.33,rain,26.6,14.5,1018.5,83.2,4.6,20.2,1.8,Rain,-0.54170821028274,0.8405666034956842,2.387,0.6216868902665479,0.7832658619336791,20.0,97.80000000000001,-2.299999999999997,3.0,3.0,-11.400000000000006,-0.6000000000000227
2020-02-09,15.1,Rain,16.0,16.0,77.2,12.0,0.0,0.0,noprecip,0.0,12.1,1025.0,10.0,89.0,Cloudy,0.25881904510252074,0.9659258262890683,19.2,16.5,17.6,19.2,16.5,17.6,15.6,88.3,2.969,12.5,rain,25.9,20.4,1021.8,82.9,7.8,30.3,2.6,Rain,0.7046342099635946,0.7095707365365209,3.764,0.6350683134867438,0.7724559775191742,7.0,29.80000000000001,-8.799999999999997,2.6999999999999993,4.0,-4.0,0.09999999999990905
2020-02-10,16.3,Rain,15.0,15.0,74.5,10.5,0.0,0.0,noprecip,0.0,6.5,1024.0,10.0,89.0,Cloudy,0.7071067811865475,0.7071067811865476,16.0,14.0,15.1,16.0,14.0,15.1,12.0,82.0,1.152,8.33,rain,25.9,18.4,1025.5,80.3,9.1,46.9,3.9,Rain,0.4817536741017153,0.8763066800438636,4.816999999999999,0.6482618097757122,0.7614175109532997,30.0,16.19999999999999,-8.799999999999997,2.0,4.5,-1.4000000000000057,-1.400000000000091
2020-02-11,18.9,Rain,17.0,17.0,88.0,15.0,0.0,0.0,noprecip,0.0,5.4,1020.0,4.0,69.9,Cloudy,-0.34202014332566866,-0.9396926207859084,18.6,14.0,16.3,18.6,14.0,16.3,12.4,78.0,0.099,4.17,rain,16.9,12.1,1021.7,77.6,8.3,109.0,9.3,Rain,0.9121201161722731,0.40992303384157275,4.22,0.6612634749656386,0.7501537286959042,167.0,134.2,-24.0,4.600000000000001,2.0,-3.0999999999999943,-1.2999999999999545
